Brand Name,Region,Country,Furniture Types,Executive Contact,Website,BIM on Website,BIMobject Library,NBS BIM Library,Other BIM Repositories,Notes
Ethimo,Europe,Italy,"Outdoor, Teak",Gian Paolo Migliaccio (CEO),https://www.ethimo.com,Yes,Yes,Yes,Archiproducts,"Italian outdoor furniture"
Fast,Europe,Italy,"Outdoor, Aluminum",Marco Levrangi (CEO),https://www.fastspa.com,Yes,Yes,Yes,Archiproducts,"Italian aluminum outdoor furniture"
Slide,Europe,Italy,"Rotomolded, Outdoor, Lighting",Giò Colonna Romano (CEO),https://www.slidedesign.it,Yes,Yes,Yes,Archiproducts,"Italian rotomolded furniture and lighting"
Plank,Europe,Italy,"Contract, Residential",Michael Plank (CEO),https://www.plank.it,Yes,Yes,Yes,Archiproducts,"Italian contract and residential furniture"
Billiani,Europe,Italy,"Wooden Seating, Contract",Luigi Billiani (CEO),https://www.billiani.it,Yes,Yes,Yes,Archiproducts,"Italian wooden seating specialist"
Mattiazzi,Europe,Italy,"Wooden Seating, Artisanal",Nevio Mattiazzi (Founder),https://www.mattiazzi.eu,Yes,Yes,Yes,Archiproducts,"Italian artisanal wooden seating"
Sitland,Europe,Italy,"Office Seating, Acoustic",Alberto Snichelotto (CEO),https://www.sitland.com,Yes,Yes,Yes,Archiproducts,"Italian office seating specialist"
Ditre Italia,Europe,Italy,"Upholstery, Residential",Michele De Marchi (CEO),https://www.ditreitalia.com,Yes,Yes,Yes,Archiproducts,"Italian upholstery specialist"
Flexsteel,North America,USA,"Residential, Contract, Upholstery",Derek Schmidt (CEO),https://www.flexsteel.com,Yes,Yes,Yes,Revit City,"American upholstery specialist"
La-Z-Boy,North America,USA,"Residential, Recliners",Melinda Whittington (CEO),https://www.la-z-boy.com,Yes,Yes,No,3Dwarehouse,"American recliner specialist"
Ashley Furniture,North America,USA,"Residential, Mass Market",Todd Wanek (CEO),https://www.ashleyfurniture.com,Yes,Yes,No,3Dwarehouse,"World's largest furniture manufacturer"
Havertys,North America,USA,"Residential, Traditional",Clarence Smith (CEO),https://www.havertys.com,Yes,No,No,3Dwarehouse,"American traditional furniture retailer"
Ethan Allen,North America,USA,"Residential, Traditional",Farooq Kathwari (CEO),https://www.ethanallen.com,Yes,Yes,No,3Dwarehouse,"American traditional furniture"
Baker Furniture,North America,USA,"Residential, High-end",Russell Towner (President),https://www.bakerfurniture.com,Yes,Yes,Yes,Revit City,"American high-end furniture"
Bernhardt,North America,USA,"Residential, Contract",Alex Bernhardt Jr. (CEO),https://www.bernhardt.com,Yes,Yes,Yes,Revit City,"American residential and contract furniture"
Century Furniture,North America,USA,"Residential, High-end",Alex Shuford III (CEO),https://www.centuryfurniture.com,Yes,Yes,Yes,Revit City,"American high-end furniture"
Kimball International,North America,USA,"Office, Healthcare, Hospitality",Kristie Juster (CEO),https://www.kimballinternational.com,Yes,Yes,Yes,Revit City,"American contract furniture"
HBF (Hickory Business Furniture),North America,USA,"Contract, Healthcare",Dan Chong (President),https://www.hbf.com,Yes,Yes,Yes,Revit City,"American healthcare furniture specialist"
Geiger,North America,USA,"Executive Office, Wood",Tim Straker (President),https://www.geigerfurniture.com,Yes,Yes,Yes,Herman Miller,"American executive office furniture (Herman Miller brand)"
Nemschoff,North America,USA,"Healthcare, Seating",Dave Raysich (President),https://www.nemschoff.com,Yes,Yes,Yes,Herman Miller,"American healthcare seating specialist (Herman Miller brand)"
Davis Furniture,North America,USA,"Contract, Contemporary",Danny Davis (CEO),https://www.davisfurniture.com,Yes,Yes,Yes,Revit City,"American contemporary contract furniture"
Gunlocke,North America,USA,"Executive Office, Wood",Don Mead (President),https://www.gunlocke.com,Yes,Yes,Yes,Revit City,"American executive office furniture"
Keilhauer,North America,Canada,"Office Seating, Collaborative",Mike Keilhauer (President),https://www.keilhauer.com,Yes,Yes,Yes,Revit City,"Canadian office seating specialist"
Global Furniture Group,North America,Canada,"Office, Education, Healthcare",Joel Feldberg (CEO),https://www.globalfurnituregroup.com,Yes,Yes,Yes,Revit City,"Canadian contract furniture"
EQ3,North America,Canada,"Residential, Contemporary",Peter Tielmann (CEO),https://www.eq3.com,Yes,Yes,No,None,"Canadian contemporary furniture"
Nienkämper,North America,Canada,"Contract, Conference",Klaus Nienkämper (Founder),https://www.nienkamper.com,Yes,Yes,Yes,Revit City,"Canadian conference furniture specialist"
Krug,North America,Canada,"Healthcare, Office",Bill Krug (CEO),https://www.krug.ca,Yes,Yes,Yes,Revit City,"Canadian healthcare and office furniture"
Mobican,North America,Canada,"Residential, Bedroom",Pierre Sunderland (President),https://www.mobican.com,Yes,No,No,None,"Canadian bedroom furniture specialist"
Artopex,North America,Canada,"Office Systems, Seating",Daniel Pelletier (CEO),https://www.artopex.com,Yes,Yes,Yes,Revit City,"Canadian office furniture systems"
Allsteel,North America,USA,"Office, Collaborative",Brandon Sieben (President),https://www.allsteeloffice.com,Yes,Yes,Yes,HNI,"American office furniture (HNI brand)"
HON,North America,USA,"Office, Value",Brandon Sieben (President),https://www.hon.com,Yes,Yes,Yes,HNI,"American value office furniture (HNI brand)"
Nitori,Asia,Japan,"Residential, Mass Market",Akio Nitori (Founder & CEO),https://www.nitori.co.jp,Yes,No,No,None,"Japanese mass market furniture retailer"
Itoki,Asia,Japan,"Office, Education",Yoshiro Yamamoto (President),https://www.itoki.jp,Yes,Yes,Yes,BIMsmith,"Japanese office and education furniture"
Kokuyo,Asia,Japan,"Office, Education",Hidekuni Kuroda (President),https://www.kokuyo.com,Yes,Yes,Yes,BIMsmith,"Japanese office furniture and stationery"
Plus Corporation,Asia,Japan,"Office, Education",Kazuhiko Fukuoka (President),https://www.plus.co.jp,Yes,Yes,Yes,BIMsmith,"Japanese office furniture and supplies"
Takara Belmont,Asia,Japan,"Salon, Healthcare",Hidetaka Yoshikawa (CEO),https://www.takarabelmont.co.jp,Yes,Yes,Yes,BIMsmith,"Japanese salon and healthcare furniture"
Tendo Mokko,Asia,Japan,"Wooden Furniture, Artisanal",Kazuhiro Fujita (President),https://www.tendo-mokko.co.jp,Yes,No,No,None,"Japanese artisanal wooden furniture"
Kotobuki Seating,Asia,Japan,"Public Seating, Auditorium",Takashi Yamaguchi (President),https://www.kotobuki-seating.co.jp,Yes,Yes,Yes,BIMsmith,"Japanese public seating specialist"
Takenaka Komuten,Asia,Japan,"Contract, Office",Masato Takenaka (President),https://www.takenaka.co.jp,Yes,Yes,Yes,BIMsmith,"Japanese contract furniture"
Time & Style,Asia,Japan,"Residential, Wooden Furniture",Ryutaro Yoshida (Founder),https://www.timeandstyle.com,Yes,No,No,None,"Japanese high-end wooden furniture"
Hida Sangyo,Asia,Japan,"Wooden Furniture, Residential",Toshiyuki Nishigaki (President),https://www.hidasangyo.com,Yes,No,No,None,"Japanese wooden furniture specialist"
Karimoku Furniture,Asia,Japan,"Wooden Furniture, Residential",Hiroshi Kato (President),https://www.karimoku.com,Yes,Yes,No,None,"Japanese wooden furniture manufacturer"
Nissin Furniture,Asia,Japan,"Office, Healthcare",Takashi Okamoto (President),https://www.nissin-mokkou.co.jp,Yes,Yes,Yes,BIMsmith,"Japanese office and healthcare furniture"
Takumi Kohgei,Asia,Japan,"Wooden Furniture, Artisanal",Noboru Igarashi (President),https://www.takumikohgei.co.jp,Yes,No,No,None,"Japanese artisanal wooden furniture"
MUJI (Ryohin Keikaku),Asia,Japan,"Residential, Minimalist",Satoru Matsuzaki (President),https://www.muji.com,Yes,Yes,No,None,"Japanese minimalist furniture and lifestyle products"
Sunon,Asia,China,"Office, Commercial",Wu Xiangdong (CEO),https://www.sunonglobal.com,Yes,Yes,Yes,BIMsmith,"Chinese office furniture manufacturer"
Lamex,Asia,China,"Office Systems, Seating",Rex Dai (CEO),https://www.lamexfurniture.com,Yes,Yes,Yes,BIMsmith,"Chinese office furniture systems"
UE Furniture,Asia,China,"Office, Education",Zhang Jianwei (CEO),https://www.uefurniture.com,Yes,Yes,Yes,BIMsmith,"Chinese office and education furniture"
Kinwai,Asia,China,"Residential, Upholstery",Huang Shaoxiang (CEO),https://www.kinwai.com,Yes,No,No,None,"Chinese upholstery manufacturer"
Quama,Asia,China,"Office, Commercial",Li Qiang (CEO),https://www.quama.com.cn,Yes,Yes,Yes,BIMsmith,"Chinese office furniture manufacturer"
Fursys,Asia,South Korea,"Office, Commercial",Choi Myung-hee (CEO),https://www.fursys.com,Yes,Yes,Yes,BIMsmith,"Korean office furniture manufacturer"
Sidiz,Asia,South Korea,"Office Seating, Ergonomic",Cho Hyun-jong (CEO),https://www.sidiz.com,Yes,Yes,Yes,BIMsmith,"Korean ergonomic seating specialist"
Kuka Home,Asia,China,"Residential, Upholstery",Gu Yuhua (CEO),https://www.kukahome.com,Yes,No,No,None,"Chinese upholstery manufacturer"
Godrej Interio,Asia,India,"Office, Residential, Storage",Anil Mathur (COO),https://www.godrejinterio.com,Yes,Yes,Yes,BIMsmith,"Indian furniture and storage solutions"
Featherlite,Asia,India,"Office, Education",Manohar Gopal (CEO),https://www.featherlite.com,Yes,Yes,Yes,BIMsmith,"Indian office and education furniture"
Zuari Furniture,Asia,India,"Residential, Modular",Jyoti Deshpande (CEO),https://www.zuarifurniture.com,Yes,No,No,None,"Indian modular furniture"
Nilkamal,Asia,India,"Plastic, Residential, Commercial",Sharad Parekh (CEO),https://www.nilkamal.com,Yes,No,No,None,"Indian plastic furniture manufacturer"
Durian,Asia,India,"Residential, Upholstery",Sajjan Rungta (CEO),https://www.durianfurniture.com,Yes,No,No,None,"Indian upholstery specialist"
Spacewood,Asia,India,"Modular, Residential, Office",Kirit Joshi (CEO),https://www.spacewood.in,Yes,No,No,None,"Indian modular furniture manufacturer"
Hairu,Asia,China,"Office, Education",Wang Hairu (CEO),https://www.hairufurniture.com,Yes,Yes,Yes,BIMsmith,"Chinese office and education furniture"
Merryfair,Asia,Singapore,"Office Seating, Commercial",Desmond Tan (CEO),https://www.merryfair.com,Yes,Yes,Yes,BIMsmith,"Singaporean office seating manufacturer"
Kian,Asia,Malaysia,"Contract, Hospitality, Outdoor",Kee Kok Thiam (CEO),https://www.kian.com,Yes,Yes,Yes,BIMsmith,"Malaysian contract and outdoor furniture"
Benel,Asia,Singapore,"Office, Commercial",Nelson Tan (CEO),https://www.benel.com.sg,Yes,Yes,Yes,BIMsmith,"Singaporean office furniture manufacturer"
Bristol,Asia,Philippines,"Office, Commercial",Jim Chua (CEO),https://www.bristol.ph,Yes,Yes,Yes,BIMsmith,"Filipino office furniture manufacturer"
Deesawat,Asia,Thailand,"Outdoor, Teak",Jirachai Tangkijngamwong (CEO),https://www.deesawat.com,Yes,Yes,Yes,BIMsmith,"Thai outdoor teak furniture manufacturer"
Mobel Furniture,Asia,Indonesia,"Residential, Wooden Furniture",Hendri Wijaya (CEO),https://www.mobelfurniture.co.id,Yes,No,No,None,"Indonesian wooden furniture manufacturer"
Jarken Group,Asia,Thailand,"Office, Hospitality",Sasivimol Sinthawanarong (CEO),https://www.jarken.net,Yes,Yes,Yes,BIMsmith,"Thai office and hospitality furniture"
Artifurn,Asia,Malaysia,"Hospitality, Contract",Dato' Lim Kok Boon (CEO),https://www.artifurn.com,Yes,Yes,Yes,BIMsmith,"Malaysian hospitality furniture manufacturer"
King Living,Oceania,Australia,"Residential, Upholstery",David King (Founder),https://www.kingliving.com.au,Yes,Yes,Yes,BIMsmith,"Australian upholstery specialist"
Jardan,Oceania,Australia,"Residential, Sustainable",Nick Garnham (CEO),https://www.jardan.com.au,Yes,Yes,Yes,BIMsmith,"Australian sustainable furniture"
Workspace Commercial Furniture,Oceania,Australia,"Office, Education, Healthcare",Tom Clark (CEO),https://www.workspacefurniture.com.au,Yes,Yes,Yes,BIMsmith,"Australian commercial furniture"
Zenith Interiors,Oceania,Australia,"Office, Commercial",Greg McDonell (CEO),https://www.zenithinteriors.com,Yes,Yes,Yes,BIMsmith,"Australian commercial furniture"
Stylecraft,Oceania,Australia,"Contract, Residential",Anthony Collins (CEO),https://www.stylecraft.com.au,Yes,Yes,Yes,BIMsmith,"Australian contract furniture"
Thinking Works,Oceania,Australia,"Office, Tables",Dean Kuch (CEO),https://www.thinkingw.com,Yes,Yes,Yes,BIMsmith,"Australian office table specialist"
Tait,Oceania,Australia,"Outdoor, Residential, Commercial",Gordon Tait (Founder),https://www.madebytait.com.au,Yes,Yes,Yes,BIMsmith,"Australian outdoor furniture"
Designcraft,Oceania,Australia,"Contract, Residential",Barbara Rogers (CEO),https://www.designcraft.com.au,Yes,Yes,Yes,BIMsmith,"Australian contract and residential furniture"
Nonn,Oceania,New Zealand,"Office, Commercial",Blair McKolskey (CEO),https://www.nonn.co.nz,Yes,Yes,Yes,BIMsmith,"New Zealand commercial furniture"
Città,Oceania,New Zealand,"Residential, Lifestyle",Margot Acland (CEO),https://www.cittadesign.com,Yes,No,No,None,"New Zealand residential furniture"
Resident,Oceania,New Zealand,"Lighting, Furniture",Simon James (Co-founder),https://www.resident.co.nz,Yes,Yes,Yes,BIMsmith,"New Zealand lighting and furniture"
David Shaw,Oceania,New Zealand,"Residential, Upholstery",David Shaw (Founder),https://www.davidshaw.co.nz,Yes,No,No,None,"New Zealand upholstery specialist"
Formway,Oceania,New Zealand,"Office Seating, Design",Kent Parker (CEO),https://www.formway.com,Yes,Yes,Yes,BIMsmith,"New Zealand office seating design"
Mobilia,Africa,South Africa,"Contract, Residential",Alon Sachs (CEO),https://www.mobilia.co.za,Yes,Yes,Yes,BIMsmith,"South African contract and residential furniture"
Ergoform,Africa,South Africa,"Office, Ergonomic",Danie van Niekerk (CEO),https://www.ergoform.co.za,Yes,Yes,Yes,BIMsmith,"South African ergonomic office furniture"
Woodbender,Africa,South Africa,"Wooden Furniture, Seating",Charles Mast (CEO),https://www.woodbender.co.za,Yes,No,No,None,"South African wooden seating specialist"
Pedersen + Lennard,Africa,South Africa,"Residential, Commercial",Luke Pedersen (Co-founder),https://www.pedersenlennard.co.za,Yes,No,No,None,"South African furniture design"
Houtlander,Africa,South Africa,"Wooden Furniture, Residential",Phillip Hollander (Co-founder),https://www.houtlander.co.za,Yes,No,No,None,"South African wooden furniture"
Tonic Design,Africa,South Africa,"Residential, Custom",Greg Gamble (Co-founder),https://www.tonicdesign.co.za,Yes,No,No,None,"South African custom furniture design"
Mezzanine,Africa,Kenya,"Contract, Residential",Dudley Currie (CEO),https://www.mezzanineinteriors.co.ke,Yes,No,No,None,"Kenyan contract and residential furniture"
Saba Italia,Europe,Italy,"Upholstery, Residential",Amelia Pegorin (CEO),https://www.sabaitalia.it,Yes,Yes,Yes,Archiproducts,"Italian upholstery specialist"
Maxalto,Europe,Italy,"Residential, High-end",Antonio Citterio (Designer),https://www.maxalto.it,Yes,Yes,Yes,Archiproducts,"Italian high-end furniture (B&B Italia brand)"
Azucena,Europe,Italy,"Residential, Classic Design",Luigi Caccia Dominioni (Founder),https://www.azucena.it,Yes,Yes,Yes,Archiproducts,"Italian classic design furniture"
Acerbis,Europe,Italy,"Storage, Residential",Enrico Acerbis (CEO),https://www.acerbisinternational.com,Yes,Yes,Yes,Archiproducts,"Italian storage specialist"
Agape,Europe,Italy,"Bathroom, Fixtures",Emanuele Benedini (CEO),https://www.agapedesign.it,Yes,Yes,Yes,Archiproducts,"Italian bathroom furniture and fixtures"
Alias Design,Europe,Italy,"Residential, Contract",Andrea Sanguineti (Design Director),https://www.alias.design,Yes,Yes,Yes,Archiproducts,"Italian design furniture"
Alessi,Europe,Italy,"Accessories, Tableware",Alberto Alessi (President),https://www.alessi.com,Yes,Yes,Yes,Archiproducts,"Italian design accessories and tableware"
Alpi,Europe,Italy,"Wood Surfaces, Veneers",Vittorio Alpi (CEO),https://www.alpi.it,Yes,Yes,Yes,Archiproducts,"Italian wood surfaces and veneers"
Amura,Europe,Italy,"Upholstery, Residential",Emanuel Gargano (Designer),https://www.amuralab.com,Yes,Yes,Yes,Archiproducts,"Italian upholstery specialist"
Andreu World,Europe,Spain,"Seating, Contract",Jesus Llinares (CEO),https://www.andreuworld.com,Yes,Yes,Yes,Archiproducts,"Spanish seating specialist"
Arflex,Europe,Italy,"Upholstery, Residential",Marco Piva (Designer),https://www.arflex.it,Yes,Yes,Yes,Archiproducts,"Italian upholstery specialist"
Artek,Europe,Finland,"Residential, Contract",Marianne Goebl (CEO),https://www.artek.fi,Yes,Yes,Yes,BIMscript,"Finnish design furniture"
Artemide,Europe,Italy,"Lighting, Architectural",Carlotta de Bevilacqua (CEO),https://www.artemide.com,Yes,Yes,Yes,Archiproducts,"Italian lighting manufacturer"
Atelier Vierkant,Europe,Belgium,"Ceramics, Planters",Dries Janssens (CEO),https://www.ateliervierkant.com,Yes,Yes,Yes,BIMobject,"Belgian ceramic planters"
Axor,Europe,Germany,"Bathroom Fixtures",Anke Sohn (Head of Global Brand),https://www.axor-design.com,Yes,Yes,Yes,BIMobject,"German bathroom fixtures (Hansgrohe brand)"
B-Line,Europe,Italy,"Residential, Storage",Dan Graboi (CEO),https://www.b-line.it,Yes,Yes,Yes,Archiproducts,"Italian storage furniture"
Baleri Italia,Europe,Italy,"Residential, Experimental",Sebastiano Baleri (CEO),https://www.baleri-italia.it,Yes,Yes,Yes,Archiproducts,"Italian experimental furniture"
Barlow Tyrie,Europe,UK,"Outdoor, Teak",Mark Tyrie (CEO),https://www.teak.com,Yes,Yes,Yes,NBS BIM Library,"British outdoor teak furniture"
Bassam Fellows,North America,USA,"Residential, Crafted",Craig Bassam (Co-founder),https://www.bassamfellows.com,Yes,No,No,None,"American crafted furniture"
Bensen,North America,Canada,"Residential, Minimalist",Niels Bendtsen (Founder),https://www.bensen.ca,Yes,No,No,None,"Canadian minimalist furniture"
Berhardt Furniture,North America,USA,"Residential, Traditional",Alex Bernhardt Jr. (CEO),https://www.bernhardt.com,Yes,Yes,Yes,Revit City,"American traditional furniture"
Blu Dot,North America,USA,"Residential, Contemporary",John Christakos (Co-founder),https://www.bludot.com,Yes,Yes,No,3Dwarehouse,"American contemporary furniture"
Bover,Europe,Spain,"Lighting, Decorative",Joana Bover (Founder),https://www.bover.es,Yes,Yes,Yes,Archiproducts,"Spanish decorative lighting"
Branca Lisboa,Europe,Portugal,"Wooden Furniture, Artisanal",Marco Sousa Santos (Founder),https://www.branca-lisboa.com,Yes,No,No,None,"Portuguese artisanal wooden furniture"
Brdr. Krüger,Europe,Denmark,"Wooden Furniture, Crafted",Jonas Krüger (CEO),https://www.brdr-kruger.com,Yes,Yes,Yes,BIMscript,"Danish crafted wooden furniture"
Brühl,Europe,Germany,"Upholstery, Residential",Roland Meyer-Brühl (CEO),https://www.bruehl.com,Yes,Yes,Yes,BIMobject,"German upholstery specialist"
Buzzispace,Europe,Belgium,"Acoustic, Office",Steve Symons (Founder),https://www.buzzi.space,Yes,Yes,Yes,BIMobject,"Belgian acoustic office solutions"
Camira,Europe,UK,"Textiles, Contract",Grant Russell (CEO),https://www.camirafabrics.com,Yes,Yes,Yes,NBS BIM Library,"British contract textiles"
Cane-line,Europe,Denmark,"Outdoor, Residential",Brian Djernes (CEO),https://www.cane-line.com,Yes,Yes,Yes,BIMscript,"Danish outdoor furniture"
Carl Hansen & Søn,Europe,Denmark,"Wooden Furniture, Residential",Knud Erik Hansen (CEO),https://www.carlhansen.com,Yes,Yes,Yes,BIMscript,"Danish wooden furniture manufacturer"
Ceccotti Collezioni,Europe,Italy,"Wooden Furniture, Artisanal",Franco Ceccotti (Founder),https://www.ceccotticollezioni.it,Yes,Yes,Yes,Archiproducts,"Italian artisanal wooden furniture"
Crassevig,Europe,Italy,"Seating, Contract",Alfio Crassevig (CEO),https://www.crassevig.com,Yes,Yes,Yes,Archiproducts,"Italian seating specialist"
Dauphin,Europe,Germany,"Office Seating, Ergonomic",Antje Dauphin (CEO),https://www.dauphin.de,Yes,Yes,Yes,BIMobject,"German ergonomic office seating"
De La Espada,Europe,Portugal,"Solid Wood, Residential",Luis De Oliveira (Co-founder),https://www.delaespada.com,Yes,Yes,Yes,BIMobject,"Portuguese solid wood furniture"
De Padova,Europe,Italy,"Residential, Minimalist",Roberto Gavazzi (CEO),https://www.depadova.com,Yes,Yes,Yes,Archiproducts,"Italian minimalist furniture"
Dedon,Europe,Germany,"Outdoor, Woven",Sonja van der Hagen (CEO),https://www.dedon.de,Yes,Yes,Yes,BIMobject,"German outdoor woven furniture"
Desalto,Europe,Italy,"Tables, Metal",Roberto De Santis (CEO),https://www.desalto.it,Yes,Yes,Yes,Archiproducts,"Italian table specialist"
Design Within Reach,North America,USA,"Residential, Modern Classics",John Edelman (CEO),https://www.dwr.com,Yes,Yes,No,3Dwarehouse,"American modern classics retailer"
Diesel Living with Moroso,Europe,Italy,"Residential, Fashion",Andrea Rosso (Creative Director),https://www.diesel.com/living,Yes,Yes,Yes,Archiproducts,"Italian fashion-inspired furniture"
Dornbracht,Europe,Germany,"Bathroom, Kitchen Fixtures",Andreas Dornbracht (CEO),https://www.dornbracht.com,Yes,Yes,Yes,BIMobject,"German bathroom and kitchen fixtures"
Driade,Europe,Italy,"Residential, Eclectic",Giuseppe Di Nuccio (CEO),https://www.driade.com,Yes,Yes,Yes,Archiproducts,"Italian eclectic furniture"
Duravit,Europe,Germany,"Bathroom, Fixtures",Stephan Tahy (CEO),https://www.duravit.com,Yes,Yes,Yes,BIMobject,"German bathroom fixtures and furniture"
