ClassID,Theme,Class Name,Instructor,Schedule,Location,Capacity,Status,Link to Class,Class Description,Equipment Requirements
S0810,Environmental & Sustainability,Renewable Materials: From Petroleum to Bioplastics,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Renewable Materials: From Petroleum to Bioplastics. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0901,Space & Exploration,Rockets: From Fireworks to Reusable Launch Systems,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Rockets: From Fireworks to Reusable Launch Systems. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0902,Space & Exploration,Satellites: From Sputnik to Mega-Constellations,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Satellites: From Sputnik to Mega-Constellations. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0903,Space & Exploration,Space Stations: Living in Orbit,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Space Stations: Living in Orbit. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0904,Space & Exploration,Lunar Exploration: From Apollo to Artemis,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Lunar Exploration: From Apollo to Artemis. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0905,Space & Exploration,Mars Exploration: The Red Planet,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Mars Exploration: The Red Planet. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0906,Space & Exploration,Telescopes: From Galileo to James Webb,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Telescopes: From Galileo to James Webb. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0907,Space & Exploration,Exoplanet Detection: Finding Worlds Beyond,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Exoplanet Detection: Finding Worlds Beyond. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0908,Space & Exploration,Space Propulsion: Beyond Chemical Rockets,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Space Propulsion: Beyond Chemical Rockets. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0909,Space & Exploration,Astrobiology: Life Beyond Earth,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Astrobiology: Life Beyond Earth. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0910,Space & Exploration,Space Tourism: Commercial Spaceflight,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Space Tourism: Commercial Spaceflight. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S1001,Future Technologies & Innovation,Quantum Computing: The Next Computational Revolution,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Quantum Computing: The Next Computational Revolution. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S1002,Future Technologies & Innovation,Blockchain & Distributed Systems,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Blockchain & Distributed Systems. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S1003,Future Technologies & Innovation,Brain-Computer Interfaces: Mind Control,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Brain-Computer Interfaces: Mind Control. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S1004,Future Technologies & Innovation,Autonomous Systems: Self-Driving Everything,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Autonomous Systems: Self-Driving Everything. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S1005,Future Technologies & Innovation,Metamaterials: Engineering Impossible Properties,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Metamaterials: Engineering Impossible Properties. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S1006,Future Technologies & Innovation,Holography: 3D Light Projection,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Holography: 3D Light Projection. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S1007,Future Technologies & Innovation,Soft Robotics: Flexible Machines,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Soft Robotics: Flexible Machines. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S1008,Future Technologies & Innovation,Energy Harvesting: Power from Everywhere,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Energy Harvesting: Power from Everywhere. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S1009,Future Technologies & Innovation,Synthetic Biology: Designing Life,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Synthetic Biology: Designing Life. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S1010,Future Technologies & Innovation,The Metaverse: Virtual Worlds & Digital Existence,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring The Metaverse: Virtual Worlds & Digital Existence. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
